Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
Cyclone Oswald,Queensland,Cape York Peninsula,Cyclone,2013-01-21,,6,,110000,-14.77330565,143.2895623
Cyclone Yasi,Queensland,Ayr ,Cyclone,2011-02-02,2011-02-03,1,,140500,-19.567473,147.410345
Cyclone George,Western Australia,Port Hedland,Cyclone,2007-03-03,2007-03-08,3,20,800,-20.3111814,118.5801181
Cyclone Larry,Queensland,Cairns,Cyclone,2006-03-20,2006-03-20,,30,54000,-16.9206657,145.7721854
Cyclone Tessi,Queensland,Townsville,Cyclone,2000-04-02,2000-04-04,,,1500,-19.2569391,146.8239537
Cyclone Steve,Queensland,Cairns,Cyclone,2000-02-27,2000-03-09,1,,1100,-16.9206657,145.7721854
Cyclone Vance,Western Australia,Dampier,Cyclone,1999-03-18,1999-03-24,,,3500,-20.6624798,116.7119013
Cyclone Bobby,Western Australia,Dampier,Cyclone,1995-02-24,1995-02-27,8,,1100,-20.6624798,116.7119013
Cyclone Nancy,Queensland,Brisbane,Cyclone,1990-02-03,1990-02-07,6,,3300,-27.4689682,153.0234991
Cyclone Aivu,"Queensland , New South Wales",Brisbane,Cyclone,1989-04-04,1989-04-20,3,,2600,-27.4689682,153.0234991
Cyclone Herbie,Western Australia,Dampier,Cyclone,1988-05-21,1988-05-22,,,2000,-20.6624798,116.7119013
Cyclone Winifred,Queensland,Cairns,Cyclone,1986-01-27,1986-02-05,3,,4000,-16.9206657,145.7721854
Cyclone Hazel,Western Australia,Carnarvon,Cyclone,1979-03-01,1979-03-01,15,5,1500,-24.866415,113.679255
Cyclone Alby,Western Australia,Perth,Cyclone,1978-03-27,1978-04-04,5,,1300,-31.9558933,115.8605855
Cyclone Joan,Western Australia,Port Hedland,Cyclone,1975-12-08,1975-12-09,,,2000,-20.3111814,118.5801181
Cyclone Tracy,Northern Territory,Darwin,Cyclone,1974-12-25,1974-12-25,71,650,20000,-12.46044,130.8410469
Cyclone Althea,Queensland,Townsville,Cyclone,1971-12-24,1971-12-27,3,25,2500,-19.2569391,146.8239537
Cyclone Ada,Queensland,Mackay,Cyclone,1970-01-17,1970-01-19,14,,1200,-21.141956,149.1865149
Cyclone - Rockhampton,Queensland,Bundaberg Rockhampton,Cyclone,1949-03-02,1949-03-03,4,,35,-23.353276,150.515101
