Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
Bushfire - Wandilo,South Australia,Mount Gambier (SA),Bushfire,1958-04-05,1958-04-06,8,3,Not Available,-37.8246698,140.7819596
Landslide - Gracetown,Western Australia,Gracetown,Landslide,1996-09-27,1996-09-28,9,3,Not Available,-33.8646786,114.9881592
Industrial - Bulli Mine,New South Wales,Wollongong,Industrial,1887-03-23,1887-03-23,81,3,Not Available,-34.4278083,150.893054
Shipwreck - Circassian,Victoria,Cooma (VIC),Maritime/Coastal,1864-10-06,1864-10-06,4,4,Not Available,-36.409381,145.0728646
Transport - Essendon Air ambulance Crash,Victoria,Melbourne,Transport,1986-09-03,1986-09-03,6,4,Not Available,-37.8142454,144.9631732
"Transport - Essendon Melbourne, Light Aircraft Crash",Victoria,Melbourne,Transport,1978-07-10,1978-07-10,6,4,Not Available,-37.8142454,144.9631732
Flood - Dalby,Queensland,Brisbane,Flood,1981-02-01,1981-02-01,1,5,20000000,-27.4689682,153.0234991
Criminal Act - Queen Street Shooting,Victoria,Melbourne,Criminal Act,1987-12-08,1987-12-08,9,5,Not Available,-37.8142454,144.9631732
Transport - Brooklyn Train and Bus Collision,New South Wales,Sydney,Transport,1944-01-20,1944-01-20,17,5,Not Available,-33.8698439,151.2082848
Maritime/Coastal - Iron Crown steamship Sinking,Victoria,Cooma (VIC),Maritime/Coastal,1942-06-04,1942-06-04,37,5,Not Available,-36.409381,145.0728646
Urban Fire - Brisbane Boarding House ,Queensland,Brisbane,Urban Fire,2002-08-18,2002-08-18,3,6,Not Available,-27.4689682,153.0234991
Shipwreck - Pareora,South Australia,Adelaide,Maritime/Coastal,1919-09-19,1919-09-19,11,7,Not Available,-34.9281805,138.5999312
"Swanston Street wall collapse, 2013",Victoria,Melbourne,Industrial,2013-03-29,2013-03-29,3,8,Not Available,-37.8142454,144.9631732
Industrial -Kalgoorlie Mine Collapse,Western Australia,Kalgoorlie,Industrial,2000-06-26,2000-06-26,3,8,Not Available,-30.7464139,121.473223
